62640,Macoupin County (IL),Girard,Non-Resident,Illinois,
62649,Macoupin County (IL),Hettick,Non-Resident,Illinois,
62667,Macoupin County (IL),Modesto,Non-Resident,Illinois,
62672,Macoupin County (IL),Nilwood,Non-Resident,Illinois,
62674,Macoupin County (IL),Palmyra,Non-Resident,Illinois,
62683,Macoupin County (IL),Scottville,Non-Resident,Illinois,
62685,Macoupin County (IL),Shipman,Non-Resident,Illinois,
62001,Madison County (IL),Alhambra,Non-Resident,Illinois,
62002,Madison County (IL),Alton,Non-Resident,Illinois,
62010,Madison County (IL),Bethalto,Non-Resident,Illinois,
62018,Madison County (IL),Cottage Hills,Non-Resident,Illinois,
62021,Madison County (IL),Dorsey,Non-Resident,Illinois,
62024,Madison County (IL),East Alton,Non-Resident,Illinois,
62025,Madison County (IL),Edwardsville,Non-Resident,Illinois,
62034,Madison County (IL),Glen Carbon,Non-Resident,Illinois,
62035,Madison County (IL),Godfrey,Non-Resident,Illinois,
62040,Madison County (IL),Mitchell,Non-Resident,Illinois,
62046,Madison County (IL),Hamel,Non-Resident,Illinois,
62048,Madison County (IL),Hartford,Non-Resident,Illinois,
62060,Madison County (IL),Marison,Non-Resident,Illinois,
62061,Madison County (IL),Marine,Non-Resident,Illinois,
62067,Madison County (IL),Moro,Non-Resident,Illinois,
62074,Madison County (IL),New Douglas,Non-Resident,Illinois,
62084,Madison County (IL),Roxana,Non-Resident,Illinois,
62090,Madison County (IL),Venice,Non-Resident,Illinois,
62095,Madison County (IL),Wood River,Non-Resident,Illinois,
62097,Madison County (IL),Worden,Non-Resident,Illinois,
62249,Madison County (IL),Highland,Non-Resident,Illinois,
62281,Madison County (IL),Saint Jacob,Non-Resident,Illinois,
62294,Madison County (IL),Troy,Non-Resident,Illinois,
62234,"Madison County (IL) or
St. Clair County (IL)",Collinsville,Non-Resident,Illinois,
62236,Monroe County (IL),Columbia,Non-Resident,Illinois,
62244,Monroe County (IL),Fults,Non-Resident,Illinois,
62248,Monroe County (IL),Hecker,Non-Resident,Illinois,
62256,Monroe County (IL),Maeystown,Non-Resident,Illinois,
62278,Monroe County (IL),Red Bud,Non-Resident,Illinois,
62279,Monroe County (IL),Renault,Non-Resident,Illinois,
62295,Monroe County (IL),Valmeyer,Non-Resident,Illinois,
62298,Monroe County (IL),Waterloo,Non-Resident,Illinois,
62201,St. Clair County (IL),Sauget,Non-Resident,Illinois,
62203,St. Clair County (IL),East St. Louis,Non-Resident,Illinois,
62204,St. Clair County (IL),Washington Park,Non-Resident,Illinois,
62205,St. Clair County (IL),East St. Louis,Non-Resident,Illinois,
62206,St. Clair County (IL),Cahokia,Non-Resident,Illinois,
62207,St. Clair County (IL),Alorton,Non-Resident,Illinois,
62208,St. Clair County (IL),Fairview Heights,Non-Resident,Illinois,
62220,St. Clair County (IL),Belleville,Non-Resident,Illinois,
62221,St. Clair County (IL),Belleville,Non-Resident,Illinois,
62223,St. Clair County (IL),Belleville,Non-Resident,Illinois,
62225,St. Clair County (IL),Scott AFB,Non-Resident,Illinois,
62232,St. Clair County (IL),Caseyville,Non-Resident,Illinois,
62239,St. Clair County (IL),Dupo,Non-Resident,Illinois,
62240,St. Clair County (IL),East Carondelet,Non-Resident,Illinois,
62243,St. Clair County (IL),Freeburg,Non-Resident,Illinois,
62254,St. Clair County (IL),Lebanon,Non-Resident,Illinois,
62255,St. Clair County (IL),Lenzberg,Non-Resident,Illinois,
62257,St. Clair County (IL),Marissa,Non-Resident,Illinois,
62258,St. Clair County (IL),Mascoutah,Non-Resident,Illinois,
62260,St. Clair County (IL),Millstadt,Non-Resident,Illinois,
62264,St. Clair County (IL),New Athens,Non-Resident,Illinois,
62269,St. Clair County (IL),Shiloh,Non-Resident,Illinois,
62285,St. Clair County (IL),Smithton,Non-Resident,Illinois,
